track,question_id,judge,scalar_preference,pairwise_forward,pairwise_reverse,position_consistent
gemini,0,flash,TIE,TIE,Claude Opus 5,False
gemini,0,pro,TIE,Claude Opus 5,Claude Opus 5,True
gemini,1,flash,TIE,Claude Opus 5,TIE,False
gemini,1,pro,TIE,TIE,TIE,True
gemini,2,flash,TIE,TIE,TIE,True
gemini,2,pro,TIE,Claude Opus 5,Claude Opus 5,True
gemini,3,flash,TIE,TIE,TIE,True
gemini,3,pro,TIE,TIE,TIE,True
gemini,4,flash,TIE,GPT-5.6 Sol,Claude Opus 5,False
gemini,4,pro,GPT-5.6 Sol,GPT-5.6 Sol,TIE,False
gemini,5,flash,TIE,TIE,TIE,True
gemini,5,pro,GPT-5.6 Sol,Claude Opus 5,Claude Opus 5,True
gemini,6,flash,TIE,TIE,Claude Opus 5,False
gemini,6,pro,TIE,Claude Opus 5,Claude Opus 5,True
gemini,7,flash,TIE,Claude Opus 5,TIE,False
gemini,7,pro,TIE,TIE,TIE,True
gemini,8,flash,TIE,TIE,TIE,True
gemini,8,pro,TIE,TIE,TIE,True
gemini,9,flash,TIE,TIE,TIE,True
gemini,9,pro,TIE,Claude Opus 5,Claude Opus 5,True
gemini,10,flash,TIE,Claude Opus 5,Claude Opus 5,True
gemini,10,pro,TIE,TIE,TIE,True
gemini,11,flash,TIE,TIE,TIE,True
gemini,11,pro,GPT-5.6 Sol,TIE,TIE,True
gemini,12,flash,TIE,TIE,TIE,True
gemini,12,pro,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
gemini,13,flash,TIE,GPT-5.6 Sol,TIE,False
gemini,13,pro,TIE,Claude Opus 5,Claude Opus 5,True
gemini,14,flash,TIE,TIE,TIE,True
gemini,14,pro,TIE,TIE,TIE,True
gemini,15,flash,TIE,Claude Opus 5,Claude Opus 5,True
gemini,15,pro,TIE,Claude Opus 5,Claude Opus 5,True
gemini,16,flash,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
gemini,16,pro,Claude Opus 5,Claude Opus 5,Claude Opus 5,True
gemini,17,flash,TIE,TIE,TIE,True
gemini,17,pro,TIE,TIE,TIE,True
gemini,18,flash,TIE,GPT-5.6 Sol,TIE,False
gemini,18,pro,TIE,TIE,Claude Opus 5,False
gemini,19,flash,TIE,TIE,TIE,True
gemini,19,pro,TIE,TIE,TIE,True
gemini,20,flash,TIE,TIE,TIE,True
gemini,20,pro,TIE,TIE,TIE,True
gemini,21,flash,TIE,TIE,Claude Opus 5,False
gemini,21,pro,TIE,TIE,Claude Opus 5,False
gemini,22,flash,TIE,Claude Opus 5,Claude Opus 5,True
gemini,22,pro,TIE,Claude Opus 5,Claude Opus 5,True
gemini,23,flash,TIE,TIE,TIE,True
gemini,23,pro,GPT-5.6 Sol,TIE,TIE,True
gemini,24,flash,TIE,GPT-5.6 Sol,TIE,False
gemini,24,pro,TIE,TIE,TIE,True
gemini,25,flash,TIE,TIE,TIE,True
gemini,25,pro,TIE,GPT-5.6 Sol,GPT-5.6 Sol,True
gemini,26,flash,TIE,TIE,TIE,True
